# forestry
# 5.8.2.414
Beekeeping statistics for TextComponent{text='', siblings=[TextComponent{text='Rehzotto', siblings=[], style=Style{hasParent=true, color=null, bold=null, italic=null, underlined=null, obfuscated=null, clickEvent=ClickEvent{action=SUGGEST_COMMAND, value='/msg Rehzotto '}, hoverEvent=HoverEvent{action=SHOW_ENTITY, value='TextComponent{text='{name:"Rehzotto",id:"5e191503-6aaa-4d24-99a3-a5bcaecdbc64"}', siblings=[], style=Style{hasParent=false, color=null, bold=null, italic=null, underlined=null, obfuscated=null, clickEvent=null, hoverEvent=null, insertion=null}}'}, insertion=Rehzotto}}], style=Style{hasParent=false, color=null, bold=null, italic=null, underlined=null, obfuscated=null, clickEvent=ClickEvent{action=SUGGEST_COMMAND, value='/msg Rehzotto '}, hoverEvent=HoverEvent{action=SHOW_ENTITY, value='TextComponent{text='{name:"Rehzotto",id:"5e191503-6aaa-4d24-99a3-a5bcaecdbc64"}', siblings=[], style=Style{hasParent=false, color=null, bold=null, italic=null, underlined=null, obfuscated=null, clickEvent=null, hoverEvent=null, insertion=null}}'}, insertion=Rehzotto}} on 3/21/20 2:34 PM:

Mode: EASY

Discovered:
-----------
Queen:		0
Princess:	0
Drone:		0

Species (88):
-------------
X: Discovered
BL: Blacklisted
NC: Not counted for the species total

[ X  ] [ BL ] [ NC ]	UID                                      Species              Authority           
-------------------------------------------------------------------------------------------------------

[    ] [    ] [    ]	forestry.speciesForest                   Forest               Sengir              
[    ] [    ] [    ]	forestry.speciesMeadows                  Meadows              Sengir              
[    ] [    ] [    ]	forestry.speciesCommon                   Common               Sengir              
[    ] [    ] [    ]	forestry.speciesCultivated               Cultivated           Sengir              
[    ] [    ] [    ]	forestry.speciesNoble                    Noble                Sengir              
[    ] [    ] [    ]	forestry.speciesMajestic                 Majestic             Sengir              
[    ] [    ] [    ]	forestry.speciesImperial                 Imperial             Sengir              
[    ] [    ] [    ]	forestry.speciesDiligent                 Diligent             Sengir              
[    ] [    ] [    ]	forestry.speciesUnweary                  Unweary              Sengir              
[    ] [    ] [    ]	forestry.speciesIndustrious              Industrious          Sengir              
[    ] [    ] [    ]	forestry.speciesSteadfast                Steadfast            Sengir              
[    ] [    ] [    ]	forestry.speciesValiant                  Valiant              Sengir              
[    ] [    ] [    ]	forestry.speciesHeroic                   Heroic               Sengir              
[    ] [    ] [    ]	forestry.speciesSinister                 Sinister             Sengir              
[    ] [    ] [    ]	forestry.speciesFiendish                 Fiendish             Sengir              
[    ] [    ] [    ]	forestry.speciesDemonic                  Demonic              Sengir              
[    ] [    ] [    ]	forestry.speciesModest                   Modest               Sengir              
[    ] [    ] [    ]	forestry.speciesFrugal                   Frugal               Sengir              
[    ] [    ] [    ]	forestry.speciesAustere                  Austere              Sengir              
[    ] [    ] [    ]	forestry.speciesTropical                 Tropical             Sengir              
[    ] [    ] [    ]	forestry.speciesExotic                   Exotic               Sengir              
[    ] [    ] [    ]	forestry.speciesEdenic                   Edenic               Sengir              
[    ] [    ] [    ]	forestry.speciesEnded                    Ender                Sengir              
[    ] [    ] [    ]	forestry.speciesSpectral                 Spectral             Sengir              
[    ] [    ] [    ]	forestry.speciesPhantasmal               Phantasmal           Sengir              
[    ] [    ] [    ]	forestry.speciesWintry                   Wintry               Sengir              
[    ] [    ] [    ]	forestry.speciesIcy                      Icy                  Sengir              
[    ] [    ] [    ]	forestry.speciesGlacial                  Glacial              Sengir              
[    ] [    ] [ NC ]	forestry.speciesVindictive               Vindictive           Sengir              
[    ] [    ] [ NC ]	forestry.speciesVengeful                 Vengeful             Sengir              
[    ] [    ] [ NC ]	forestry.speciesAvenging                 Avenging             Sengir              
[    ] [    ] [ NC ]	forestry.speciesLeporine                 Leporine             Sengir              
[    ] [    ] [ NC ]	forestry.speciesMerry                    Merry                Sengir              
[    ] [    ] [ NC ]	forestry.speciesTipsy                    Tipsy                Sengir              
[    ] [    ] [ NC ]	forestry.speciesTricky                   Tricky               Sengir              
[    ] [    ] [    ]	forestry.speciesRural                    Rural                Sengir              
[    ] [    ] [    ]	forestry.speciesFarmerly                 Farmerly             Sengir              
[    ] [    ] [    ]	forestry.speciesAgrarian                 Agrarian             Sengir              
[    ] [    ] [    ]	forestry.speciesMarshy                   Marshy               Sengir              
[    ] [    ] [    ]	forestry.speciesMiry                     Miry                 Sengir              
[    ] [    ] [    ]	forestry.speciesBoggy                    Boggy                Sengir              
[    ] [    ] [    ]	forestry.speciesMonastic                 Monastic             Sengir              
[    ] [    ] [    ]	forestry.speciesSecluded                 Secluded             Sengir              
[    ] [    ] [    ]	forestry.speciesHermitic                 Hermitic             Sengir              
[    ] [    ] [    ]	morebees.species.rock                    Rocky                Tencao              
[    ] [    ] [    ]	morebees.species.hardened                Hardened             Tencao              
[    ] [    ] [    ]	morebees.species.obsidian                Obsidian             Tencao              
[    ] [    ] [    ]	morebees.species.lapis                   Lapis                Tencao              
[    ] [    ] [    ]	morebees.species.dirt                    Dirty                Tencao              
[    ] [    ] [    ]	morebees.species.clay                    Clay                 Tencao              
[    ] [    ] [    ]	morebees.species.redsand                 Sandy                Tencao              
[    ] [    ] [    ]	morebees.species.quartz                  Quartz               Tencao              
[    ] [    ] [    ]	morebees.species.certus                  Certus               Tencao              
[    ] [    ] [    ]	morebees.species.redstone                Redstone             Tencao              
[    ] [    ] [    ]	morebees.species.emerald                 Emerald              Tencao              
[    ] [    ] [    ]	morebees.species.diamond                 Diamond              Tencao              
[    ] [    ] [    ]	morebees.species.ruby                    Ruby                 Tencao              
[    ] [    ] [    ]	morebees.species.sapphire                Sapphire             Tencao              
[    ] [    ] [    ]	morebees.species.sulfur                  Sulfur               Tencao              
[    ] [    ] [    ]	morebees.species.apatite                 Apatite              Tencao              
[    ] [    ] [    ]	morebees.species.metallic                Metallic             Tencao              
[    ] [    ] [    ]	morebees.species.iron                    Iron                 Tencao              
[    ] [    ] [    ]	morebees.species.copper                  Copper               Tencao              
[    ] [    ] [    ]	morebees.species.tin                     Tin                  Tencao              
[    ] [    ] [    ]	morebees.species.aluminium               Aluminium            Tencao              
[    ] [    ] [    ]	morebees.species.gold                    Golden               Tencao              
[    ] [    ] [    ]	morebees.species.silver                  Silver               Tencao              
[    ] [    ] [    ]	morebees.species.lead                    Lead                 Tencao              
[    ] [    ] [    ]	morebees.species.cobalt                  Cobalt               Tencao              
